,video_id,title,channel_title,category_id,tags,views,likes,dislikes,comment_total
159,3VVnY86ulA8,GoPro Hero 6!,iJustine,22,test_tag,401154,17653,839,3068
160,3WEvgqcP8mg,Top 10 Clara Moments,HiHo Kids,22,test_tag,221643,17529,118,1611
161,3WyD96Zq8Cw,The Guides Axiom | Now Available,The Guides,20,test_tag,17534,29,0,8
162,3X3xtRNb20s,David Guetta ft Justin Bieber - 2U (Official Video),David Guetta,10,test_tag,7164833,367128,16607,21838
163,3d9i_0Ty7Cg,Are You In A Simulation?,Vsauce3,27,test_tag,4210205,240752,4471,25436
164,3e9tJJKBlwM,30 Origins of Alcohol Brand Names - mental_floss List Show Ep. 519,Mental Floss,27,test_tag,364246,8753,183,1658
165,3fILUAGw2mE,Film Theory: How Much is YOUR SOUL Worth? (Fullmetal Alchemist Brotherhood),The Film Theorists,1,test_tag,6232130,263629,10863,50015
166,3hq2c9vdfls,"Cal Football 2017: HC Justin Wilcox September 11, 2017",Cal Bears,17,test_tag,2099,17,0,10
167,3iYOBuyS97A,Emmys 2017: 'This Is Us' Star Sterling K. Brown Says It's 'Crazy' People Think He's Sexy,Entertainment Tonight,24,test_tag,12759,136,8,162
168,3la8bsi4P-c,How the triplet flow took over rap,Vox,25,test_tag,1877036,77129,2620,9112
169,3qVHkOOyD5s,"Demi Lovato performing 'With A Little Help From My Friends' at Hand In Hand - September 12, 2017",Demi Lovato News,22,test_tag,300666,6235,241,715
170,3sdwibrYkUU,Crumb Trailer,david cartwright,22,test_tag,35011,105,4,74
171,3uxsHmxQBHA,"Jon Cozart Roasts Lilly Singh, Liza Koshy & Casey Neistat with a Song - Streamys 2017",Streamy Awards,24,test_tag,7534487,374185,6450,17471
172,3wsegE01zUE,"U.S.P.S Postman Delivers Mail Santa Rosa Fires Drone Video By Douglas Thron   October 10, 2017",Douglas Thron,25,test_tag,4645341,0,0,0
173,3x-sUsazQ90,#IRMAgerd Hurricane Candy and why it's hard to make candy when it rains.,Lofty Pursuits,26,test_tag,796611,23947,921,3409
174,3y5A4paFOb4,Logan Paul - Outta My Hair [Official Music Video],Logan Paul Vlogs,24,test_tag,85451527,5980546,551334,891185
175,3yoGE3v4A8w,FAIL.. + *New* ESTEE LAUDER DOUBLE WEAR NUDE {First Impression Review & Demo!} 15 DAYS OF FOUNDATION,thataylaa,26,test_tag,449195,30535,410,3534
176,3zrZE68Qrrg,Jessie Ware - Alone (Official Video),JessieWareVEVO,10,test_tag,929557,45341,339,1808
177,4-LrRk7U1Kc,Gerard Butler's Mother Knows What Do with a Dead Body,LIVEKellyandRyan,24,test_tag,5906,74,0,6
178,40M4DF8aIYs,Too Faced Peaches and Cream GRWM | First Impressions | soothingsista,SoothingSista,26,test_tag,62871,3539,23,290
179,41dUEWlH1Ks,Top 10 Most Dangerous Internet Challenges,WatchMojo.com,24,test_tag,642280,7943,432,1631
180,41taYOq1kVY,P!nk - Beautiful Trauma (Audio),PinkVEVO,10,test_tag,11136197,416412,5340,17819
181,42G_XzaPcPo,ULTRA RARE! - Velvet Worm,Brave Wilderness,15,test_tag,1875081,89167,804,13393
182,439iY0844xI,Aladdin Makes No Sense,SuperCarlinBrothers,22,test_tag,2342918,85877,5781,16153
183,446dbFQEFJU,Fuller House | Season 3 - Official Trailer [HD] | Netflix,Netflix,24,test_tag,1303073,21568,2274,3392
184,470TG3AdA1A,Philip K. Dick’s Electric Dreams – Official Trailer [HD] | Amazon Video,Amazon Video,24,test_tag,2564699,4455,378,881
185,48dQekjzI6U,Dealing with Cancer (This is my SECRET),Wil Dasovich,22,test_tag,924840,42315,600,7819
186,4An2AF2rWGk,Kerry Washington Has Her Eye on Scandal's Prada Bags,Late Night with Seth Meyers,23,test_tag,71158,975,12,92
187,4AsSp0AhlBc,The Hidden Detail You Missed about Stranger Things’ Shadow Monster! (Nerdist News w/ Jessica Chobot),Nerdist,24,test_tag,53340,1700,33,94
188,4CyvvCx6Us0,Best Wash-N-Go EVER! | Natural Hair,Mini Marley,26,test_tag,178796,16803,178,1134
189,4F2KWDQQMhY,Riverdale: Between the Scenes | Madelaine Petsch,Madelaine Petsch,22,test_tag,950155,86352,173,6350
190,4KAfi8-2tVg,Major earthquake hits south of Mexico City,CBS News,25,test_tag,171642,727,86,1165
191,4Ltc4HO3NIE,Florida Weather Cameras - Hurricane Irma (19 cameras across Florida),stere0123,19,test_tag,109422,200,14,0
192,4LwpGaDKmZ8,FENTY BEAUTY by RIHANNA... HIT OR MISS?! | Jeffree Star,jeffreestar,26,test_tag,10337403,370734,33910,39259
193,4MEv1k9aQXA,Hurricane Nate leaves path of destruction along Gulf Coast,ABC News,25,test_tag,102580,747,168,613
194,4MkC65emkG4,Hand In Hand A Benefit For Hurricane Relief | MTV,MTV,24,test_tag,2460553,61287,3632,6163
195,4NJYWgb6dQM,HAIM - Little of Your Love,HaimVEVO,10,test_tag,1029821,53947,1230,2990
196,4RPso1_xMYk,Racist Lawyer Rant,Video Library,22,test_tag,11960,25,24,91
197,4Rg-YN7XFcM,Thomas Rhett & Bobby Bones surprise fans with Life Changes,Thomas Rhett,10,test_tag,235693,1506,41,107
198,4Sk4n2ggxRI,Vegas victim reunited with man who saved her,CBC News,25,test_tag,198327,1576,86,395
199,4VgnTrbaQWs,Phoebe Ryan - James Has Changed (Audio),PhoebeRyanVEVO,10,test_tag,202235,13691,88,858
200,4W-pZrhu798,"Russell Brand Talks Marriage, Fatherhood & Recovery",Wendy Williams,24,test_tag,1713553,32140,1714,8085
201,4WNHB8vROg4,Tom Petty & the Heartbreakers~Last Two Songs~You Wreck Me/American Girl~Hollywood Bowl~9/25/2017,Kim Roberts,10,test_tag,1138471,6475,164,1687
202,4WvKeYuwifc,Divided island: How Haiti and the DR became two worlds,Vox,25,test_tag,2457365,140657,9602,26838
203,4WyBEMxqFaI,Flawless Fall Makeup Routine,Shameless Maya,26,test_tag,38754,4264,69,556
204,4X6a3G_0HjY,Bella Hadid Roughs Up Security Roughing Up Female Photog | TMZ,TMZ,24,test_tag,2340446,8373,9723,7001
205,4YX_1wql-Xw,TESTING EXPENSIVE $$$ AF LIQUID LIPSTICKS | Jeffree Star,jeffreestar,26,test_tag,8044178,309449,19111,45059
206,4Yue-q9Jdbk,SUPERFRUIT REACTS TO TEENS REACT TO SUPERFRUIT,SUPERFRUIT,24,test_tag,1656374,125531,1840,11065
207,4cfL9nTNugM,Niall Horan - Too Much to Ask (Audio),NiallHoranVEVO,10,test_tag,14294690,1450288,5712,130687
208,4dp31MWMjeM,Peter Rabbit Trailer,Trailers Promos Teasers,24,test_tag,75756,325,349,178
